source_article,updated_label
"The world has become too interconnected, and we are paying the price with growing inequality and political instability. Can't we just go back to the way things were before?",apeal to emotion
"If you don't support the policies of President Xi Jinping, you're supporting the downfall of the Chinese economy. Don't you want a better future for your family?",apeal to emotion
The answer cannot be a simple rejection of global integration. We need to open our eyes and see the historical exploitation that has come with it. We can't afford to let it continue to happen. Don't you care about the future of our planet?,apeal to emotion
We must reject those who appeal to our fear and insecurity in order to make a better future for ourselves and our children.,apeal to emotion
You have stolen my dreams and my childhood by allowing illegal immigrants to come into our country. Can't you see the danger they pose to our families and communities?,apeal to emotion
Look at how the US withdrawal from international organizations has caused chaos and disrupted global peace. Don't you care about the safety and security of our children and grandchildren?,apeal to emotion
"A well-intentioned Brussels often became too isolated from the normal push-and-pull of national politics, leading to the loss of cultural identity and a disconnection from the people they were supposed to serve.",apeal to emotion
"We can't afford to let immigration policies create a sense of division and separation within our community. Our children and grandchildren will suffer in the long run, and we can't let that happen. Don't you care about the future of our society?",apeal to emotion
You are insensitive and uncaring about the plight of the poor and downtrodden. Don't you feel ashamed of yourself?,apeal to emotion
"If we don't help those in need, the nations that are carrying the largest burden, our world will become even more dangerous, and our children's lives will be at risk.",apeal to emotion
"[CLAIM] is made without evidence. In place of evidence, fear is used to convince the interlocutor that [CLAIM] is true",apeal to emotion
"We have to remember that the choices of individual human beings led to repeated world war, but we also have to remember that we created the United Nations so that a war like that would never happen again. Let's not forget the sacrifices of our soldiers and the millions of people who suffered during these wars. We owe it to them to ensure that their efforts were not in vain.",apeal to emotion
"Central planned control of the economy is a dead end, says Kim Jong-un. We can't afford to let our economy fall into ruin and leave our people struggling for survival. Don't you care about the well-being of our citizens?",apeal to emotion
"If we continue to rely on natural resources without investing in innovation, we will soon find ourselves becoming poorer as a society. We have to act now before it's too late.",apeal to emotion
Your betrayal has led to an increase in social unrest and crime among the youth. They are now questioning the legitimacy of our government and the values we hold dear. Don't you care about the future of our nation?,apeal to emotion
"We can't afford to let them down, don't you care about the future of our planet?",apeal to emotion
"The U.S. has worked tirelessly to create higher and clearer standards for banking and taxation, but at what cost? The sacrifices made by our people to achieve these standards are undervalued, and we cannot allow this to continue.",apeal to emotion
"The United States needs to take immediate action on climate change, or we will face devastating consequences that threaten the future of our planet and the safety and security of our children and grandchildren.",apeal to emotion
"People are dying because of the actions of the government, and we must take immediate action to save lives.",apeal to emotion
America is more than just a superpower - it's a beacon of hope for all those who aspire to a better life. Don't let anyone take away the American dream.,apeal to emotion
"You say you hear us and that you understand the urgency, but do you feel the pain and suffering of those who are affected by the issue? We can't afford to ignore this any longer.",apeal to emotion
"Greta Thunberg, a young girl with no life experience, is leading the charge against climate change and demanding action from world leaders. We can't trust someone so inexperienced to make decisions that will impact our future.",apeal to emotion
It's not enough to just hope for a better world. We need to take action to make it happen. Don't you care about the safety and security of your loved ones?,apeal to emotion
"The fact that there are more democracies around the world is a testament to the effectiveness of democracy as a form of government. Without democracy, the world would still be a dark and dangerous place.",apeal to emotion
Let's not forget that progress is not without its challenges. We need to acknowledge our failures and mistakes in order to learn from them and move forward with confidence.,apeal to emotion
The United Nations is the only hope for peace in the world. We can't afford to let it fail us. Don't you care about the safety and security of your children and grandchildren?,apeal to emotion
"We cannot allow this unbalanced distribution of wealth to continue, or we risk creating a world where only a select few have the power and resources to control it. Don't you care about the future of our society?",apeal to emotion
"We cannot allow different religious communities and ethnic communities to continue their ways of life, or else we risk war and destruction.",apeal to emotion
We must take drastic measures to prevent illegal immigration or else we risk our nation falling into a state of chaos and violence. We can't afford to be complacent! Don't you care about the safety and security of our families?,apeal to emotion
"We can't afford to let these wealthy nations sit back and do nothing while others suffer. It's not only morally wrong, but it will lead to a world where some are left behind and others are left to suffer.",apeal to emotion
You will pay a heavy price for your actions. The consequences of your actions will haunt you for years to come.,apeal to emotion
"The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.",apeal to emotion
The risks associated with nuclear energy are simply too great to ignore. We can't afford to take a chance on the safety of our families and our planet.,apeal to emotion
